iter	Passed	Remaining
550	97420	79385
551	97541	79163
552	97774	79032
553	97916	78828
554	98095	78653
555	98254	78462
556	98383	78247
557	98540	78055
558	98687	77855
559	98943	77741
560	99254	77669
561	99603	77626
562	99836	77492
563	100057	77349
564	100459	77344
565	100708	77221
566	100913	77064
567	101079	76877
568	101249	76693
569	101406	76499
570	101559	76302
571	101718	76111
572	101914	75947
573	102082	75761
574	102229	75560
575	102364	75351
576	102511	75151
577	102644	74941
578	102783	74735
579	102920	74528
580	103087	74343
581	103224	74137
582	103359	73929
583	103484	73714
584	103620	73508
585	103770	73312
586	103897	73099
587	104043	72901
588	104177	72694
589	104318	72492
590	104460	72291
591	104602	72090
592	104773	71910
593	104963	71743
594	105134	71561
595	105282	71366
596	105423	71165
597	105568	70967
598	105715	70771
599	105865	70577
600	105999	70372
601	106137	70170
602	106280	69972
603	106410	69765
604	106542	69560
605	106675	69356
606	106816	69157
607	106959	68960
608	107095	68759
609	107224	68553
610	107363	68353
611	107512	68161
612	107654	67964
613	107787	67761
614	107914	67556
615	108047	67354
616	108187	67157
617	108320	66955
618	108462	66759
619	108608	66566
620	108747	66369
621	108889	66173
622	109045	65987
623	109179	65787
624	109315	65589
625	109442	65385
626	109574	65185
627	109703	64983
628	109832	64781
629	109964	64582
630	110132	64404
631	110293	64221
632	110451	64037
633	110590	63842
634	110732	63649
635	110881	63460
636	111015	63263
637	111151	63067
638	111285	62870
639	111422	62675
640	111557	62479
641	111686	62279
642	111816	62081
643	111951	61886
644	112081	61688
645	112222	61496
646	112364	61305
647	112499	61110
648	112631	60914
649	112757	60715
650	112900	60525
651	113106	60369
652	113257	60184
653	113442	60017
654	113640	59856
655	113811	59681
656	114027	59530
657	114243	59379
658	114398	59195
659	114537	59004
660	114714	58832
661	114901	58665
662	115049	58479
663	115210	58299
664	115358	58112
665	115495	57921
666	115629	57728
667	115806	57556
668	115934	57360
669	116057	57162
670	116166	56958
671	116300	56765
672	116445	56578
673	116585	56389
674	116718	56198
675	116850	56005
676	116969	55806
677	117095	55611
678	117221	55417
679	117344	55220
680	117453	55018
681	117578	54824
682	117704	54630
683	117822	54432
684	117953	54241
685	118074	54045
686	118202	53853
687	118339	53665
688	118479	53479
689	118609	53288
690	118730	53093
691	118852	52899
692	118968	52703
693	119092	52510
694	119227	52322
695	119353	52131
696	119481	51941
697	119599	51746
698	119715	51551
699	119841	51360
700	119967	51170
701	120104	50984
702	120219	50789
703	120360	50605
704	120497	50420
705	120631	50234
706	120766	50049
707	120894	49860
708	121010	49667
709	121132	49476
710	121254	49286
711	121382	49098
712	121516	48913
713	121639	48723
714	121758	48533
715	121886	48345
716	122032	48166
717	122168	47982
718	122303	47798
719	122428	47610
720	122552	47423
721	122683	47238
722	122804	47049
723	122940	46866
724	123069	46681
725	123202	46498
726	123326	46310
727	123446	46122
728	123571	45936
729	123693	45749
730	123817	45563
731	123930	45373
732	124054	45187
733	124187	45005
734	124324	44824
735	124476	44649
736	124599	44463
737	124721	44277
738	124854	44096
739	124976	43910
740	125106	43728
741	125228	43543
742	125352	43358
743	125482	43176
744	125603	42991
745	125728	42808
746	125871	42631
747	125990	42445
748	126126	42266
749	126256	42085
750	126382	41903
751	126511	41721
752	126633	41538
753	126750	41353
754	126873	41170
755	126992	40987
756	127111	40803
757	127226	40618
758	127344	40434
759	127465	40252
760	127583	40069
761	127705	39887
762	127815	39701
763	127934	39519
764	128056	39337
765	128175	39155
766	128290	38972
767	128410	38790
768	128533	38610
769	128666	38432
770	128791	38253
771	128907	38071
772	129030	37891
773	129150	37710
774	129263	37528
775	129377	37345
776	129485	37162
777	129630	36989
778	129747	36809
779	129859	36627
780	129979	36447
781	130097	36267
782	130205	36085
783	130320	35904
784	130440	35725
785	130552	35544
786	130674	35366
787	130801	35190
788	130922	35012
789	131060	34838
790	131175	34659
791	131288	34479
792	131394	34298
793	131522	34122
794	131643	33945
795	131761	33768
796	131881	33590
797	132008	33415
798	132142	33242
799	132264	33066
800	132390	32890
801	132534	32720
802	132670	32548
803	132822	32379
804	132969	32210
805	133131	32044
806	133275	31873
807	133403	31699
808	133544	31528
809	133680	31357
810	133808	31183
811	133937	31010
812	134060	30835
813	134180	30660
814	134315	30488
815	134444	30315
816	134568	30142
817	134699	29969
818	134831	29798
819	134968	29627
820	135093	29454
821	135226	29282
822	135356	29110
823	135483	28938
824	135611	28766
825	135732	28592
826	135853	28419
827	135980	28247
828	136104	28074
829	136224	27901
830	136336	27726
831	136462	27554
832	136576	27380
833	136696	27208
834	136817	27035
835	136997	26875
836	137122	26703
837	137247	26532
838	137364	26359
839	137494	26189
840	137621	26018
841	137731	25845
842	137845	25672
843	137966	25500
844	138090	25330
845	138220	25160
846	138342	24989
847	138460	24818
848	138588	24648
849	138716	24479
850	138838	24308
851	138968	24139
852	139094	23970
853	139222	23801
854	139338	23630
855	139464	23461
856	139589	23292
857	139707	23121
858	139824	22951
859	139944	22781
860	140089	22616
861	140210	22446
862	140330	22277
863	140449	22107
864	140568	21938
865	140698	21770
866	140817	21601
867	140942	21433
868	141051	21263
869	141178	21095
870	141304	20927
871	141426	20759
872	141552	20592
873	141677	20424
874	141803	20257
875	141929	20090
876	142051	19922
877	142158	19753
878	142284	19586
879	142406	19419
880	142525	19251
881	142643	19083
882	142781	18918
883	142902	18751
884	143027	18585
885	143160	18420
886	143287	18254
887	143407	18087
888	143528	17920
889	143646	17754
890	143786	17590
891	143907	17423
892	144025	17257
893	144143	17090
894	144270	16925
895	144395	16760
896	144517	16594
897	144636	16428
898	144766	16264
899	144888	16098
900	145004	15932
901	145148	15769
902	145277	15605
903	145399	15440
904	145520	15275
905	145646	15111
906	145774	14947
907	145900	14782
908	146028	14618
909	146156	14455
910	146283	14291
911	146410	14127
912	146542	13964
913	146671	13800
914	146790	13636
915	146904	13471
916	147044	13309
917	147165	13145
918	147281	12981
919	147402	12817
920	147521	12653
921	147659	12491
922	147780	12328
923	147897	12164
924	148017	12001
925	148141	11838
926	148273	11676
927	148394	11513
928	148518	11350
929	148653	11188
930	148782	11026
931	148897	10863
932	149016	10701
933	149134	10538
934	149256	10376
935	149372	10213
936	149484	10050
937	149614	9889
938	149736	9727
939	149849	9564
940	149962	9402
941	150078	9240
942	150202	9079
943	150322	8917
944	150441	8755
945	150566	8594
946	150680	8433
947	150797	8271
948	150922	8110
949	151039	7949
950	151156	7788
951	151276	7627
952	151393	7466
953	151520	7306
954	151636	7145
955	151754	6984
956	151877	6824
957	151997	6663
958	152125	6503
959	152251	6343
960	152361	6183
961	152479	6023
962	152599	5863
963	152715	5703
964	152828	5542
965	152946	5383
966	153064	5223
967	153179	5063
968	153292	4904
969	153414	4744
970	153538	4585
971	153661	4426
972	153785	4267
973	153927	4108
974	154050	3950
975	154167	3791
976	154276	3631
977	154404	3473
978	154525	3314
979	154637	3155
980	154758	2997
981	154874	2838
982	154992	2680
983	155107	2522
984	155221	2363
985	155336	2205
986	155451	2047
987	155594	1889
988	155743	1732
989	155883	1574
990	156026	1416
991	156140	1259
992	156302	1101
993	156530	944
994	156713	787
995	156929	630
996	157236	473
997	157681	315
998	157936	158
999	158133	0
